anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
45881,Konglong Shijie,UNKNOWN,UNKNOWN,TV,152,"Aug 22, 2019 to ?",Unknown,17418,24056,39
45882,Ju Ping Jiejie Jiang Gushi,UNKNOWN,UNKNOWN,TV,120,2013 to ?,Original,16990,23835,40
45883,Jingbao Zhanshi,UNKNOWN,UNKNOWN,TV,130,"Sep 30, 2008 to ?",Original,16900,22581,53
45884,Shuimu Wawa Shi Wan Ge Weisheme,UNKNOWN,UNKNOWN,TV,365,Not available,Original,19865,23543,42
45886,Mo Mo,UNKNOWN,UNKNOWN,TV,52,"Jul 9, 2009 to ?",Original,18201,23713,41
45889,Shaonian Direnjie,UNKNOWN,UNKNOWN,TV,52,2008 to ?,Other,19521,23879,40
45891,Xiaoyuan San Jianke,UNKNOWN,"Adventure, Fantasy",TV,26,Sep 2008 to ?,Unknown,13761,23221,45
45892,Salad Yingyu Leyuan,UNKNOWN,UNKNOWN,TV,103,2007 to ?,Original,19341,23526,42
45893,Huanbao Xiao Weishi,UNKNOWN,Fantasy,TV,100,2009 to ?,Original,16594,23295,44
45894,Yue Ce Yue Kaixin,UNKNOWN,Comedy,TV,150,2008 to ?,Unknown,14147,23232,45
45895,Dongbei Yijia Ren,UNKNOWN,Comedy,TV,240,Not available,Original,15630,22808,50
45897,Mofa Zhu Liye,UNKNOWN,UNKNOWN,TV,52,2010 to ?,Unknown,18220,23514,42
45898,Kong Xiaoru,UNKNOWN,UNKNOWN,TV,52,"Jul 9, 2009 to ?",Unknown,17407,23630,42
45899,Xiaolong Qiu Qiu,UNKNOWN,Fantasy,TV,52,Mar 2012 to ?,Unknown,13741,23492,43
45900,Pow Pow Xiang Qian Chong,UNKNOWN,UNKNOWN,ONA,2,"Jan 1, 2012 to 2012",Unknown,18973,22293,57
45901,Pow Pow Bing: Pow Pow Xiang Qian Chong,UNKNOWN,UNKNOWN,ONA,64,"Feb 21, 2012 to 2012",Unknown,18972,22292,57
45903,Youji Shen Bing,UNKNOWN,UNKNOWN,TV,156,"Jan 19, 2006 to ?",Unknown,14107,23229,45
45904,Mo Di Qiyu Ji,UNKNOWN,UNKNOWN,TV,26,"Jan 5, 2004 to ?",Unknown,18186,21416,72
45905,Yi Tang Piyingxi Chengyu Gushi,UNKNOWN,UNKNOWN,TV,100,2009 to ?,Other,14039,23572,42
45906,Kuaile Jingling,UNKNOWN,Fantasy,TV,26,"Nov 10, 2008 to ?",Unknown,17494,23432,43
45907,Mao Er Shan de Guizi Bing,UNKNOWN,UNKNOWN,TV,36,"Feb 4, 2006 to ?",Unknown,17903,23314,44
