anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
25,Koukaku Kidoutai,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,1,1995,Manga,276,329,604276
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"Action, Drama, Romance",OVA,4,1999,Manga,48,834,268621
27,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Romance",TV,94,1996,Manga,249,432,477389
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Drama,Movie,1,1997,Manga,1567,2885,50732
29,Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,1,1988,Manga,389,208,804581
30,.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,26,2002,Original,4172,1243,178659
31,Aa! Megami-sama!,7.29,"Comedy, Romance, Supernatural",OVA,5,1993,Manga,2542,2832,52627
32,Aa! Megami-sama! (TV),7.32,"Comedy, Romance, Supernatural",TV,24,2005,Manga,2407,1392,155745
33,Tenshi Kinryouku,6.27,"Action, Drama, Romance, Supernatural",OVA,3,2000,Manga,7564,2958,48258
34,Kidou Tenshi Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,26,2001,Manga,2727,2707,57259
35,Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,24,2002,Manga,3471,1839,108460
36,Appleseed (Movie),7.06,"Action, Drama, Sci-Fi",Movie,1,2004,Manga,3723,2370,72186
37,Arc the Lad,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,1999,Game,6294,5012,16013
38,Avenger,5.86,"Adventure, Fantasy, Sci-Fi",TV,13,2003,Original,9454,4856,17396
39,Beck,8.29,"Comedy, Drama, Slice of Life",TV,26,2004,Manga,252,669,327015
40,Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,26,1999,Original,3873,2256,78193
41,Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,26,2002,Manga,2080,441,469408
42,Chrno Crusade,7.62,"Action, Romance, Supernatural",TV,24,2003,Manga,1322,1010,221814
43,D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,26,2003,Manga,3180,1211,182259
44,D.C.: Da Capo,6.72,"Drama, Romance",TV,26,2003,Visual novel,5215,2320,74844
45,DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,12,2004,Manga,6027,1460,145533
46,Rozen Maiden,7.41,"Action, Comedy, Drama",TV,12,2004,Manga,2053,1120,199570
47,Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,12,2005,Manga,1340,1898,102972
48,Azumanga Daiou The Animation,7.99,"Comedy, Slice of Life",TV,26,2002,4-koma manga,603,668,327945
49,Basilisk: Kouga Ninpou Chou,7.55,"Action, Drama, Romance",TV,24,2005,Manga,1539,1213,182074
50,Black Cat (TV),7.33,"Action, Adventure, Sci-Fi",TV,23,2005,Manga,2389,846,264622
51,Cluster Edge,6.31,"Action, Fantasy, Sci-Fi",TV,25,2005,Original,7357,5917,10561
52,Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,24,2002,Light novel,1356,422,482069
53,Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,12,2003,Light novel,548,769,289064
54,Full Metal Panic! The Second Raid,7.93,Action,TV,13,2005,Light novel,682,878,255279
55,Gakuen Alice,7.64,"Comedy, Fantasy",TV,26,2004,Manga,1276,1975,97186
